restaurant_id,restaurant_name,slug,device_uuid,qr_filename
180,"Indian Punjabi Clay Oven",indian-punjabi-clay-oven-180,1bcea047-8bd8-49f5-b02a-ca98148d4a4f,Indian_Punjabi_Clay_Oven_180.png
190,"Milano",milano-190,85385a4c-b729-47d1-9b6c-6029ef185402,Milano_190.png
196,"Colonnade Pizza",colonnade-pizza-196,cc69c8bf-edee-4bd5-ba14-f6313fdce339,Colonnade_Pizza_196.png
199,"Pho Bo Ga King - Somerset",pho-bo-ga-king-somerset-199,42cbbcf9-d483-45ef-a898-52b2e9603e54,Pho_Bo_Ga_King_-_Somerset_199.png
205,"Mont Liban Bakery & Shawarma",mont-liban-bakery-shawarma-205,1e2ee8bb-73ed-4201-8754-8a9ee8dc8fa1,Mont_Liban_Bakery_Shawarma_205.png
211,"Erman Pizza",erman-pizza-211,523d780d-1eb3-40a4-a234-954cd7bd50e4,Erman_Pizza_211.png
234,"New Mukut Restaurant Indian Cuisine",new-mukut-restaurant-indian-cuisine-234,4b481efc-4ebe-417a-8468-993cc84c867a,New_Mukut_Restaurant_Indian_Cuisine_234.png
241,"Beneci Pizza",beneci-pizza-241,b40598d5-5a51-4ae8-937e-6bd0d37a0bad,Beneci_Pizza_241.png
245,"Orchid Sushi",orchid-sushi-245,ef9828ab-b80d-4ae1-a68a-7d966bce02db,Orchid_Sushi_245.png
265,"Milano",milano-265,ad064da9-0a22-426a-93d6-d3d275d0edf7,Milano_265.png
267,"Lucky Fortune",lucky-fortune-267,cc7b0623-5865-4655-b4dd-f22295f99cdd,Lucky_Fortune_267.png
269,"Shaan Tandoori",shaan-tandoori-269,539c595c-1813-460b-b352-23f1497f973b,Shaan_Tandoori_269.png
328,"JN Pizza",jn-pizza-328,336359da-53f3-4ee2-8e5e-d8546599c61f,JN_Pizza_328.png
349,"Milano",milano-349,0fb88c08-0ee0-4def-be41-3692a04d62dd,Milano_349.png
350,"Milano",milano-350,32345084-08e9-4d04-90b1-3955ab2d8501,Milano_350.png
367,"Xtreme Pizza",xtreme-pizza-367,270ffa07-0382-4444-bf82-2803dde0b0d2,Xtreme_Pizza_367.png
376,"Sachi Sushi",sachi-sushi-376,d206269d-3a4f-498d-b2a6-7138c342ff53,Sachi_Sushi_376.png
437,"Papa Joe's Fried Chicken - Downtown",papa-joes-fried-chicken-downtown-437,2e9a8f78-9922-4d17-b251-75490244100a,Papa_Joes_Fried_Chicken_-_Downtown_437.png
479,"iCook Pho You",icook-pho-you-479,3ad96dfe-3ea0-4f13-8bb0-1a439db732f0,iCook_Pho_You_479.png
491,"Light of India",light-of-india-491,9d871e42-bf89-4b71-a40c-123b71dbcdbf,Light_of_India_491.png
497,"Rangoli",rangoli-497,9fb4f820-a368-4f21-95bf-2929bbf5518a,Rangoli_497.png
502,"New Hong Kong",new-hong-kong-502,d47d2523-e9a2-46cb-9498-bb7822076746,New_Hong_Kong_502.png
507,"Pizza Lovers Hunt Club",pizza-lovers-hunt-club-507,96969c59-9c6e-423c-afbf-545ff3838365,Pizza_Lovers_Hunt_Club_507.png
511,"Egg Roll Factory",egg-roll-factory-511,3ac0c41a-2d68-46b7-b87f-b5ff935fec74,Egg_Roll_Factory_511.png
515,"Napolis",napolis-515,31155242-29fa-466d-90bd-5f4d710be1e0,Napolis_515.png
519,"HaNoi Pho",hanoi-pho-519,4a295c3c-8798-4b8d-bd60-e69da4bd4b3d,HaNoi_Pho_519.png
521,"Palermo Pizzeria",palermo-pizzeria-521,4013e23b-141d-4bf0-98a4-ec705935678b,Palermo_Pizzeria_521.png
540,"Papa Grecque des Flandres",papa-grecque-des-flandres-540,f703627e-d937-428d-961d-dfea82ea64a0,Papa_Grecque_des_Flandres_540.png
561,"Aahar The Taste of India",aahar-the-taste-of-india-561,70f22b32-c45e-44a7-9924-9647ad295862,Aahar_The_Taste_of_India_561.png
562,"Pizza des Hautes Plaines",pizza-des-hautes-plaines-562,a34dba90-2071-4c8b-a01e-7132a503ac35,Pizza_des_Hautes_Plaines_562.png
565,"Milano",milano-565,ed3c139f-fccf-4e44-8b37-ede709a6e577,Milano_565.png
569,"Milano",milano-569,01ec4dd4-a1de-43c5-b890-711947e313b6,Milano_569.png
584,"Crispy's",crispys-584,133f04d9-d1e3-41a4-b004-5dea72e589a1,Crispys_584.png
586,"Milano",milano-586,a25214df-9ac4-4e38-ad6f-6cdd01dffe8b,Milano_586.png
593,"Milano",milano-593,8d50c290-6d09-4ae2-bada-88128b3b9fd1,Milano_593.png
595,"Supreme Pizzeria",supreme-pizzeria-595,54fa1473-b382-400f-8630-ceddcdc0f6bf,Supreme_Pizzeria_595.png
596,"Sushi Fleury",sushi-fleury-596,d01403c2-0aa1-47b2-8e3e-d657c7eb2d17,Sushi_Fleury_596.png
601,"Milano",milano-601,3118f584-e615-4a99-bc41-a8d91054eb6b,Milano_601.png
602,"Papa Pizza Cantley",papa-pizza-cantley-602,6adad4b2-874b-488a-b5d2-f328c8f5264a,Papa_Pizza_Cantley_602.png
607,"Aroy Thai",aroy-thai-607,1de5132b-38b9-4b3a-88bf-fe2eb9a3f045,Aroy_Thai_607.png
614,"Marina Pizza des Flandres ",marina-pizza-des-flandres--614,d8a10d90-8d0f-4e54-a42d-426372cd6e5d,Marina_Pizza_des_Flandres__614.png
616,"Papa Grecque Maloney ",papa-grecque-maloney--616,f21a9600-6a49-4b33-a900-d3bdd116a467,Papa_Grecque_Maloney__616.png
624,"Milano",milano-624,3d49a61e-2c2c-4764-ad01-36fcc83a365b,Milano_624.png
630,"Asia Garden Ottawa",asia-garden-ottawa-630,111ce52c-bdf9-4a52-a56a-722c3ff722f7,Asia_Garden_Ottawa_630.png
636,"Joes Family Pizzeria",joes-family-pizzeria-636,b3446630-af38-4348-9443-ef5a1570559f,Joes_Family_Pizzeria_636.png
638,"Digby's Restaurant",digbys-restaurant-638,c8fc0660-2173-49eb-9fba-ee26b860ba47,Digbys_Restaurant_638.png
641,"China Moon",china-moon-641,a414b2c8-2a8e-4f6e-ad61-8a6c926efc11,China_Moon_641.png
644,"Mozza Pizza Hull",mozza-pizza-hull-644,83850516-4a09-4918-99af-c4aae3c716c7,Mozza_Pizza_Hull_644.png
646,"JC Royal Thai Cuisine",jc-royal-thai-cuisine-646,f5aed283-f164-4190-84e2-43532d687f72,JC_Royal_Thai_Cuisine_646.png
651,"Milano",milano-651,f25277fa-75b7-444d-ad1d-19b55148631d,Milano_651.png
660,"Milano",milano-660,51237e89-8829-48d1-88d1-6c9625d9da2b,Milano_660.png
680,"Milano",milano-680,3ae1acd1-39b0-412c-980b-4d6d2ecc82b8,Milano_680.png
